sn	sess	chordID	num_trials	accuracy	num_fingers	MD	MT	RT	ET	MD_std	MT_std	RT_std	ET_std	diff_force_f1	diff_force_f2	diff_force_f3	diff_force_f4	diff_force_f5	force_f1	force_f2	force_f3	force_f4	force_f5	force_e1	force_e2	force_e3	force_e4	force_e5
 9	1	91229	5	  1	3	   0.559252	    570.8	      358	    928.8	 0.09909062	 446.23895	197.07866	 630.5404	    0.009666	     3.14322	   -3.93146	    -2.14774	      0.4015	     0.11254	   -0.790348	    3.541806	     1.74442	    -0.20032	    0.1222438	      2.35282	   -0.3896268	    -0.403326	      0.20118
 9	1	91292	5	  1	3	   1.196788	   1005.6	      286	   1291.6	  0.4852869	 578.08027	171.82549	690.93473	 -0.07626642	     3.01398	   -3.47428	   -0.063308	    -2.42106	   -0.164732	   -0.759778	    3.329056	    -0.00589	     2.12286	    -0.241026	      2.25422	   -0.1452263	      -0.0692	    -0.298228
 9	1	91922	5	  1	3	   1.058974	    957.2	      350	   1307.2	  0.1620266	 318.52033	111.11256	393.87714	   -0.851976	       3.189	  -0.022038	    -2.00536	    -2.18514	    0.732376	   -0.661344	   0.3781595	     1.60418	     2.01188	    -0.119594	       2.5277	    0.3561178	    -0.401226	    -0.173244
 9	1	92129	4	0.8	3	   0.738225	      847	      913	     1760	  0.2839274	 890.75623	525.20599	 1232.885	   0.1136184	   -2.834275	   3.557375	   -2.078575	   0.0030265	 -0.01073202	    2.834575	  -0.6340682	     1.91785	 -0.00372325	    0.1028928	 0.0001898075	     2.923355	     -0.16077	-0.0006574375
 9	1	92192	5	  1	3	   1.019774	   1021.6	    350.8	   1372.4	  0.1722408	  906.2973	247.46151	1133.1932	   -0.022396	    -3.07276	     4.3933	  -0.0846214	    -1.80164	   0.0576808	     3.07296	  -0.6752152	   0.0452542	     1.80132	    0.0352704	 0.0001607696	      3.71813	   -0.0393708	 -0.000365486
 9	1	92219	5	  1	3	    1.23683	   1535.2	    294.4	   1829.6	  0.7671571	 1466.8678	279.07132	 1700.282	    -0.00673	    -3.78374	   -3.83432	      1.5795	   0.1926034	    -0.22425	     3.72248	     3.59781	   -0.806922	  -0.0952336	     -0.23105	   -0.0612492	   -0.2364864	     0.772584	    0.0973738
 9	1	92291	5	  1	3	   1.063778	      938	    432.4	   1370.4	  0.3611529	 631.14499	 182.4467	734.66101	    0.641843	    -3.24122	    -3.9047	   0.0245642	     1.96624	   -0.209018	     3.24096	    3.904786	   -0.019968	   -0.584402	    0.4328576	  -0.00028918	 8.579482e-05	    0.0046196	      1.38182
 9	1	92912	5	  1	3	   1.786704	   3231.6	    365.2	   3596.8	  0.7564086	 3447.2207	199.83293	3550.8713	   0.1168262	     -3.6299	   0.304848	     2.40144	    -1.93146	   -0.468732	     3.56898	   0.8157222	   -0.663766	     1.64902	    -0.351948	   -0.0608704	     1.120561	       1.7377	    -0.282424
 9	1	92921	5	  1	3	    1.34392	    618.8	    362.4	    981.2	 0.06551353	 337.11897	244.04672	576.14859	    -0.15047	     -3.7422	  -0.512888	    -2.36542	      1.8594	   -0.347618	     3.74252	   0.9591482	      2.1708	   -0.559416	    -0.498088	 0.0003595884	    0.4462446	    -0.194652	          1.3
 9	1	99122	5	  1	3	   0.549734	    416.4	    215.6	      632	  0.4625421	  329.3612	88.965162	337.90531	   -0.289192	   0.1933157	    3.30876	    -2.14278	    -2.24382	  -0.0064922	  -0.0697204	  -0.6395484	     1.58328	     1.56588	     -0.29569	    0.1236274	     2.669212	    -0.559494	    -0.677916
 9	1	99212	5	  1	3	   1.162752	   1605.2	    433.6	   2038.8	   1.051725	 2652.7611	442.44864	3083.4035	    0.107374	   -0.012842	   -3.56096	     1.76534	    -2.19236	   0.3818186	   0.1012736	    3.939796	   -0.536822	      2.1918	    0.4892246	   0.08843113	    0.3787998	       1.2285	  -0.00051928
